Rating,Comment
4,"Id rate it 7 out of 10. This device offers great value for the price, especially with its excellent OS, impressive battery life, and stylish design. However, the rear camera is below average, the selfie camera is poor, and there was some initial lag during setup. Its a solid choice for those seeking a genuine Android experience but not recommended for photo enthusiasts."
5,"One of the budget friendly,user friendly phone and value for money."
5,Presently ...Phone Is Good...Need to use and see ....how it performs
5,Great design...Best phone you should byThis product is really awesome This photo is just ultimatedesign is so premium and authentic.
5,Good mobile   
5,Still copying data but the color is just amazing ... Only one thing I feel charging adaptor is not there in the box
4,Very nice design and premium quality phone. Overall good product.
5,New in look...touch fell not good...sharpe edge...but camera and performance is good after 4 hours continue uses...battery performance is also good after 4 hour uses exp
4,"Phone feel is good for the segment. 120hz screen is smooth. OS has slight learning curve. Camera is very average. Should have given 256gb option. Matt plastic in the back is initially slippery which takes few days to get used to. Should have given in the box, safety back cover."
5,So hot
3,not good sound speaker
4,"The muchawaited CMF Phone 1 looks better than the pictures.ProsThe colour is a beautiful  deep navy blue. Its also rather large. The display is very, very bright. The flat screen is a great plus point for me. That little dial is an attractive design feature for now.Thanks to Flipkart for the superfast delivery of the phone. Wish the accesories had been delivered together as well. The phone was launched at 12 noon. It was in my hands by six pmCons The edges of the phone are very ..."
5,Very very good
5,"Image quality and features are very good, awesome design."
3,I am surprised there is no inbuilt music appNegative points1 camera is below average2.in this prize range they should provide charger in box3.personally while holding phone screw points are     irritating mePositive points1.good software2.bright screen3.lite weight4.decent battery5.neat OS
3,Sunper phone but something change
5,This ig a good product
5,"Very nice product, adpeter is so costly  on flipkart"
5,Solid rock like old one plus phone. Definitely buy it
5,Super  like this price range
5,Most Stylish and Affordable Phone
5,"Loved it. Carl Pei is really a hype creater. He literally making his company unique and innovative with many creative ideas. I liked this phone, especially the blue vegan back panel. Ill like to make some pov of mine about this phone later this week or after using it atleast for a week. Else if you are geeky than go for it."
3,Power packed one in decent price. Camera could be better and Absence of nfc bit disappointed. On hand looking not as much a premium look. Plastic toy brought by 16005INR 1288GB
4,Nice design and good display. Worst camera. Overall okay. It says India sim only in box. Have to check in abroad. First time used india sim.
4,Good but speaker and camera is not soo gud
4,"Nice phone u can buy it,,,at this price range,,,go for it"
4,"I bought CMF on lunch day. I am recommending, if u want good phone in range of below 20k sure u can go for it. Its worth for the price.1. The camera quality is phenomenal in depth level.2. Display is very very good.3. Design  its very new to market with new design already nothing peak in the market. Colour also very new with orange 4. Made in india5. Eco friendly  the phone had options in the right top and alert us how much hours u used the phone.6. Over all good mobile blindly ..."
5,Woww...
5,"Using this for a week,Smooth operating system,Great battery life with almost 9 hours screen on time,Top notch display quality and brightness,Good charging speed, charges 0  100 in 1 hour with 33W PD charger,Fantastic design, look and feel is great"
5,Excellent product
5,"Amazing for the price. Nothing os is just so smooth. Feels like I am using ios. Performance is very good as it is a 4nm based chip.Camera is decent for the price. Best user experience in this price segment for sure. Inhand feel is also good, however people with smaller hands might face difficulty in adapting to it as it is boxy in design and screen is wider. Overall, cant complain about the product for the price it is available. Some people who are unnecessary hating on this phone need to e..."
5,Given the price range its a steal. Am coming from the likes of Iphones and oneplus devices. Had used Nothing phone 2 as well. On this particular device I did not find anything that would want me to go back to other mobiles. ..simply superb  A new Value prop device. First of its kind. Way to go Nothing 
5,Overall 4.55
3,"Camera improve, speaker sound not clarity"
3,Except for the camera everything is good. The back cover looks cheap. Rest everything is good.
3,Very nice
4,Jai shree ramI have a good phone for less money
5,"An ultimate smartphone in this price segment. No need to listen to other people. If you are adaptive to change and like newness in technology, and have a technical mindset... then you should definitely go for it. But remember, this phone is not much suitable for photo enthusiasts."
5,"Prompt delivery  and the mobile is amazing in looks wise and performance wise, camera, battery are super and coming to interface it gives a great feel... Its just 3days experience hope will have the same feel even after sometime."
5,"Nice mobile, but CMF should give charging adapter. Overall mobile performance very good."
5,Great Mobile The CMF Phone 1 not only features a lot of good stuff at a reasonable asking price but also flaunts a unique eyecatching design that everyone is curious about.
5,A very good device with a premium software experience at this budget range.
5,NOT GOOD...
5,Everything is okay
5,Its awesome 
5,"No comments,superb performance"
4,Very good phone but camera quality can be improved and charger should be included.
4,Nice
4,Value for money
4,"Overall value for money and antique, looks good on hand feel batter, performance is also batter."
5,Nice one. Gifted for my mother
5,"Nice Phone under 20K . This phone is for good android experience and performance , not for camera . Gives a premium feel ."
